Speaker,Gender,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,F,-569.6262207,127.8700409,-27.51979256,37.13150024,2.196485519,-5.052082539,-5.844855309,1.567054272,5.471539021,0.843786061,6.358118057,4.082835674,6.542051792,0.069753319,0.072585478,-0.006634498,-0.032780699,-0.008381926,-0.010005228,-0.026894277,-0.021281263,0.0228268,0.007893763,-0.005331778,0.001969363,-0.010965283
1,F,-569.0424194,117.0759201,-27.04932022,48.83885193,4.237220287,-5.979537964,-9.038635254,3.834057808,7.782119751,-0.137890249,5.760196209,5.826880455,5.571438313,-0.002585176,0.025908558,0.010393333,-0.01121695,0.022714049,-0.013454419,-0.025143906,0.00190486,-0.008780467,-0.005491616,-0.010840032,0.009591172,0.015852014
1,F,-552.0393677,119.3309555,-32.49663925,43.44818497,-3.2543962,-2.576464415,-9.868170738,0.168738201,8.556621552,-0.119933806,6.486423016,6.05418539,4.693902016,-0.044545677,0.05277301,0.017138949,-0.025783086,-0.003461022,-0.011011223,0.020670468,-0.02763311,-0.007146863,0.003462065,0.024810798,0.004150725,-0.005967536
1,F,-558.7077637,121.5278397,-23.25234032,37.55513,1.377349257,-5.992686272,-7.502172947,0.234423161,5.664204597,-1.893156409,5.736379147,6.84341526,5.08238554,0.056007612,0.008433585,-0.069584884,-0.031461995,0.038928431,0.007948058,-0.032070126,-0.000492669,0.024492251,0.027812269,0.005792573,-0.001113272,-0.0025183
1,F,-568.8372803,121.758255,-25.97691345,45.05436325,0.855845988,-3.755331516,-7.081676483,0.980806708,6.071653843,0.943377852,6.327769279,4.402168751,5.643462181,0.044437557,0.00076248,-0.043898899,0.013752615,0.038271353,0.003764039,-0.006406369,-0.00804442,-0.007374531,0.009946616,-0.00686054,-0.016186776,-0.001739074
1,F,-525.8162231,145.9836273,-0.464634925,26.07296753,16.48738289,3.601246119,-5.853477478,-6.099273205,1.219652295,2.508888721,-0.533270001,0.789105654,4.047541142,-0.101873197,0.057951182,0.054367196,-0.054130372,0.02817755,0.025732072,0.021787582,-0.014746174,-0.027566815,-0.016521342,-0.003139931,0.005179852,-0.004019392
1,F,-555.7011108,145.7690125,-19.98031235,21.39522552,7.202569008,1.542915702,-11.12508011,-10.71802235,-5.051323414,1.367034912,0.554490566,-0.898264289,6.350618362,-0.00763271,0.011049831,-0.008486645,-0.008596303,0.053158,0.01757622,-0.037724789,-0.01944126,0.018572371,0.023265328,-0.018610442,-0.017583065,0.009435826
1,F,-559.1989136,133.6734161,-24.29145432,28.73433495,9.442540169,-2.863191128,-8.302841187,-10.15977764,-1.177018285,3.358958006,-1.216488242,0.372711152,6.211510181,0.084102705,0.035487976,-0.019758837,-0.037218194,-0.058192007,-0.010901082,0.029288033,0.008808614,-0.001055342,0.021003526,-0.002005619,-0.000318625,0.031861056
1,F,-573.1240845,133.577652,-39.16696167,44.47718048,2.884598732,2.133044004,-9.04113102,-7.863252163,-2.912230253,1.556154132,-0.071912929,-2.348266125,8.161123276,-0.091792442,-0.094300844,0.076670736,0.013716219,-0.021018783,0.075596906,-0.025730245,0.003539464,-0.000303204,0.013782501,0.02592076,2.23E-05,0.026854381
1,F,-594.8536987,121.9143219,-17.18376923,32.54506302,12.06766796,3.936317921,-4.69381094,-5.653141975,-1.127401948,4.045341969,0.60438776,-0.435564637,6.832117081,-0.090544157,-0.01063233,0.067677043,0.039376542,0.011685303,-0.038875818,0.011149078,0.019760938,-0.036768589,-0.004728206,0.021683402,0.010404725,0.006889212
1,F,-563.4359131,127.3613968,-28.54190636,32.09750748,1.438786149,2.255630255,-6.246932507,-11.01568413,-3.177271843,3.358146906,-0.37450707,-0.838771999,8.584295273,0.007341422,0.041942514,-0.003655786,-0.045922592,0.01724595,0.01629181,-0.020422988,-0.012136005,0.014177078,0.001092498,-0.017061049,-0.005532651,0.006351887
1,F,-556.2356567,117.5298996,-15.58143997,30.41208458,11.61838055,-0.655119956,-10.07583332,-7.467813492,-1.721417069,2.941582441,-1.322812915,-0.711577594,7.420659065,0.092032708,-0.002354231,-0.065190084,-0.008043115,-0.039444655,-0.041135296,-0.007051516,0.017020781,0.022086658,0.035809115,-0.008536527,-0.023330295,0.039217189
1,F,-556.8980713,141.2514801,-21.36256599,34.10071564,8.42757225,-0.936428666,-6.927073002,-5.457527161,-1.83977735,2.169374943,-1.185816884,-0.421429157,7.959905624,0.039419368,0.059351157,0.001317285,-0.035215978,4.06E-05,0.002352865,0.012621845,0.005095733,-0.025685621,-0.015786722,-0.006830379,-0.007116643,0.004166782
1,F,-540.0206909,126.9182205,-43.38253784,31.81499863,-3.469751596,0.905189276,-5.584807396,-12.38505268,-2.390019417,2.596601009,2.285148144,0.19963415,7.577465534,0.037834883,0.002582358,-0.027811376,0.016363326,0.00162332,-0.038904205,-0.017455807,0.00551058,0.005252126,-0.010359676,-0.010530902,0.023220647,0.010951426
1,F,-551.6309204,123.5790787,-11.16576481,27.55938339,7.984457493,4.531787872,-3.402932167,-5.425824642,-2.844340801,2.031239748,0.844105244,0.809113383,8.48786068,-0.050990049,0.084374495,0.080266818,-0.092502847,-0.038318869,-0.001273738,0.000187309,0.019941187,-0.008649911,-0.010919151,-0.007785491,-0.01396873,0.012865851
